Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+preprocess,LightGBM,0,5.8228,0.0199,0.6129,0.6638,0.3063,0.2659,0.6074,0.625,0.7468,0.5686,1691,290,1502,1146,0.8536,0.4328,0.5296,0.7981
Scale hba1c in test - smote+preprocess,LightGBM,1,,,,,,,,,,,1146,1502,290,1691,0.4328,0.8536,0.7981,0.5296
Scale hba1c in test - smote+preprocess,XGBoost,0,5.7521,0.0109,0.6535,0.6739,0.3219,0.3005,0.6388,0.6664,0.7458,0.5689,1980,391,1213,1045,0.8351,0.4628,0.6201,0.7277
Scale hba1c in test - smote+preprocess,XGBoost,1,,,,,,,,,,,1045,1213,391,1980,0.4628,0.8351,0.7277,0.6201
Scale hba1c in test - smote+preprocess,GradientBoosting_80,0,9.7505,0.016,0.661,0.671,0.3173,0.3015,0.6424,0.6734,0.7357,0.5555,2059,435,1134,1001,0.8256,0.4689,0.6448,0.6971
Scale hba1c in test - smote+preprocess,GradientBoosting_80,1,,,,,,,,,,,1001,1134,435,2059,0.4689,0.8256,0.6971,0.6448
Scale hba1c in test - smote+preprocess,RandomForest,0,9.4206,0.119,0.6943,0.6805,0.3416,0.3357,0.6653,0.7027,0.7415,0.5606,2289,511,904,925,0.8175,0.5057,0.7169,0.6442
Scale hba1c in test - smote+preprocess,RandomForest,1,,,,,,,,,,,925,904,511,2289,0.5057,0.8175,0.6442,0.7169
Scale hba1c in test - smote+preprocess,Naive Bayes,0,6.1988,0.0196,0.3109,0.5005,0.0171,0.0006,0.2378,0.1483,0.6499,0.43,3,0,3190,1436,1.0,0.3104,0.0009,1.0
Scale hba1c in test - smote+preprocess,Naive Bayes,1,,,,,,,,,,,1436,3190,0,3,0.3104,1.0,1.0,0.0009
Scale hba1c in test - smote+preprocess,LogisticRegression,0,15.9241,0.0078,0.7002,0.6719,0.3313,0.3292,0.6636,0.7057,0.7421,0.5516,2383,578,810,858,0.8048,0.5144,0.7463,0.5975
Scale hba1c in test - smote+preprocess,LogisticRegression,1,,,,,,,,,,,858,810,578,2383,0.5144,0.8048,0.5975,0.7463
Scale hba1c in test - smote+preprocess,ElasticNetLR,0,6.744,0.0089,0.7004,0.6721,0.3316,0.3295,0.6638,0.7059,0.7421,0.5514,2384,578,809,858,0.8049,0.5147,0.7466,0.5975
Scale hba1c in test - smote+preprocess,ElasticNetLR,1,,,,,,,,,,,858,809,578,2384,0.5147,0.8049,0.5975,0.7466
Scale hba1c in test - smote+preprocess,Stacking,0,27.9787,0.465,0.6606,0.6774,0.3285,0.3091,0.6445,0.6732,0.7462,0.5671,2022,400,1171,1036,0.8348,0.4694,0.6333,0.7214
Scale hba1c in test - smote+preprocess,Stacking,1,,,,,,,,,,,1036,1171,400,2022,0.4694,0.8348,0.7214,0.6333
Scale hba1c in test - nosmote+preprocess,LightGBM,0,0.5043,0.0306,0.7157,0.6732,0.3429,0.3428,0.6713,0.7172,0.7476,0.5728,2507,630,686,806,0.7992,0.5402,0.7852,0.5613
Scale hba1c in test - nosmote+preprocess,LightGBM,1,,,,,,,,,,,806,686,630,2507,0.5402,0.7992,0.5613,0.7852
Scale hba1c in test - nosmote+preprocess,XGBoost,0,0.2315,0.0189,0.7207,0.6766,0.3512,0.3512,0.6756,0.7215,0.7482,0.5704,2531,631,662,805,0.8004,0.5487,0.7927,0.5606
Scale hba1c in test - nosmote+preprocess,XGBoost,1,,,,,,,,,,,805,662,631,2531,0.5487,0.8004,0.5606,0.7927
Scale hba1c in test - nosmote+preprocess,GradientBoosting_80,0,4.6471,0.0324,0.72,0.6536,0.3213,0.3195,0.6589,0.7137,0.7398,0.561,2646,749,547,687,0.7794,0.5567,0.8287,0.4784
